design_index,preset,is_control,design_seed,spine_scale,design_notes,params
0,agnostida,0,7,0.3615,"segCount: -1.0 clamped to [2, 16];widthThoraxRear: 1.136943664849638 clamped to [0.3, 1.0]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.4356515132148953, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.6966634422080873, ""pleuralSlope"": 0.74, ""pygFrac"": 0.29529372429605266, ""pygMarginal"": 0, ""pygMarginalLen"": 0.18074115794479917, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 12.522392152101533, ""ringArch"": 0.22, ""segCount"": 2, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 1.0}"
1,agnostida,0,7,0.8536,"widthThoraxRear: 1.2554253835488085 clamped to [0.3, 1.0]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.36479672004386093, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.5741720110761415, ""pleuralSlope"": 0.74, ""pygFrac"": 0.3654145073909761, ""pygMarginal"": 0, ""pygMarginalLen"": 0.426780608218806, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 15.646841536710474, ""ringArch"": 0.22, ""segCount"": 4, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 1.0}"
2,agnostida,0,7,0.0339,"cephFrac: 0.5148715118045889 clamped to [0.18, 0.45];pygFrac: 0.4191915150082759 clamped to [0.05, 0.4];pygMarginalLen: 0.016926796729585466 clamped to [0.1, 1.5]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.45, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.74114815236767, ""pleuralSlope"": 0.74, ""pygFrac"": 0.4, ""pygMarginal"": 0, ""pygMarginalLen"": 0.1, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 18.495938157530617, ""ringArch"": 0.22, ""segCount"": 4, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 0.9188176904480719}"
3,agnostida,0,7,1.1033,"segCount: 1.0 clamped to [2, 16];pygFrac: 0.5122531284208558 clamped to [0.05, 0.4]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.30006066753553723, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.4370159025393384, ""pleuralSlope"": 0.74, ""pygFrac"": 0.4, ""pygMarginal"": 0, ""pygMarginalLen"": 0.5516303338309191, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 22.878852953351032, ""ringArch"": 0.22, ""segCount"": 2, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 0.6935399077405116}"
4,agnostida,0,7,0.4953,"cephFrac: 0.4732990118077779 clamped to [0.18, 0.45]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.45, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.6209404703204774, ""pleuralSlope"": 0.74, ""pygFrac"": 0.3727448681518914, ""pygMarginal"": 0, ""pygMarginalLen"": 0.24764734736460758, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 22.19365888234319, ""ringArch"": 0.22, ""segCount"": 3, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 0.6530373174842029}"
5,agnostida,0,7,1.2318,"pygFrac: 0.47623431464129473 clamped to [0.05, 0.4];widthThoraxRear: 1.202910400142153 clamped to [0.3, 1.0]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.3318191118055903, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.2782956505971038, ""pleuralSlope"": 0.74, ""pygFrac"": 0.4, ""pygMarginal"": 0, ""pygMarginalLen"": 0.6159088382319196, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 11.268885795048144, ""ringArch"": 0.22, ""segCount"": 3, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 1.0}"
6,agnostida,0,7,1.3831,"segCount: 0.0 clamped to [2, 16];cephFrac: 0.4946403937839695 clamped to [0.18, 0.45];pygFrac: 0.44523316708901056 clamped to [0.05, 0.4]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.45, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.35267602090801975, ""pleuralSlope"": 0.74, ""pygFrac"": 0.4, ""pygMarginal"": 0, ""pygMarginalLen"": 0.6915269846371801, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 19.844646194049048, ""ringArch"": 0.22, ""segCount"": 2, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 0.772503502501789}"
7,agnostida,0,7,0.6396,"segCount: 1.0 clamped to [2, 16];widthThoraxRear: 1.0302820604830825 clamped to [0.3, 1.0]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.3886176286246404, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.2386166615203528, ""pleuralSlope"": 0.74, ""pygFrac"": 0.33614018130078643, ""pygMarginal"": 0, ""pygMarginalLen"": 0.31977705770223097, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 14.77097415314805, ""ringArch"": 0.22, ""segCount"": 2, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 1.0}"
8,agnostida,1,7,,,"{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.42, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.45, ""pleuralSlope"": 0.74, ""pygFrac"": 0.4, ""pygMarginal"": 0, ""pygMarginalLen"": 0.5, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 17.1, ""ringArch"": 0.22, ""segCount"": 2, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 0.95}"
9,agnostida,1,7,,,"{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 1.0, ""borderWidth"": 0.1, ""boreDia"": 1.95, ""cephFrac"": 0.42, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.4, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.45, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.25, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 2.2, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 90.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.45, ""pleuralSlope"": 0.74, ""pygFrac"": 0.4, ""pygMarginal"": 0, ""pygMarginalLen"": 0.5, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 14.0, ""pygWidth"": 1.0, ""relief"": 17.1, ""ringArch"": 0.22, ""segCount"": 2, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 55.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.5, ""widthTail"": 0.8, ""widthThoraxFront"": 0.95, ""widthThoraxRear"": 0.95}"
