idx,preset,limited_by,enroll_class,theta,bevel,unsane,reason,secs
0,agnostida,anatomy,open,24.61,45.0,,,7.1
1,agnostida,invalid,censored,,45.0,,rest_interference,0.9
2,agnostida,invalid,censored,,45.0,,rest_interference,1.1
3,agnostida,bound,censored,45.0,45.0,,,7.2
4,agnostida,invalid,censored,,45.0,,rest_interference,0.6
5,agnostida,anatomy,open,25.47,45.0,,,9.1
10,asaphida,closed,spiral,27.81,45.0,,,23.9
11,asaphida,anatomy,open,12.42,45.0,,,18.5
12,asaphida,bound,censored,25.0,25.0,,,11.3
13,asaphida,invalid,censored,,45.0,,rest_interference,2.2
14,asaphida,invalid,censored,,45.0,,rest_interference,1.3
15,asaphida,invalid,censored,,45.0,,rest_interference,2.2
20,corynexochida,anatomy,open,12.66,45.0,,,33.7
21,corynexochida,invalid,censored,,45.0,,rest_interference,2.8
22,corynexochida,invalid,censored,,45.0,,rest_interference,1.5
23,corynexochida,closed,double,20.62,45.0,,,26.9
24,corynexochida,closed,spiral,23.75,45.0,,,28.8
25,corynexochida,closed,double,26.02,45.0,,,23.2
30,harpetida,invalid,censored,,45.0,head,unsane_parts:head,0.7
31,harpetida,closed,double,39.92,45.0,,,25.3
32,harpetida,closed,double,31.09,45.0,,,31.5
33,harpetida,invalid,censored,,45.0,head,unsane_parts:head,0.6
34,harpetida,invalid,censored,,25.0,"head,seg3,seg4","unsane_parts:head,seg3,seg4",0.4
35,harpetida,closed,double,44.45,45.0,,,25.5
40,lichida,invalid,censored,,25.0,seg6,unsane_parts:seg6,0.5
41,lichida,closed,double,19.22,45.0,,,37.0
42,lichida,invalid,censored,,25.0,seg11,unsane_parts:seg11,0.9
43,lichida,invalid,censored,,25.0,seg11,unsane_parts:seg11,0.9
44,lichida,closed,double,21.02,35.0,,,30.4
45,lichida,invalid,censored,,25.0,seg8,unsane_parts:seg8,0.7
50,odontopleurida,invalid,censored,,25.0,seg6,unsane_parts:seg6,0.6
51,odontopleurida,invalid,censored,,25.0,"seg7,seg8","unsane_parts:seg7,seg8",0.7
52,odontopleurida,invalid,censored,,25.0,seg7,unsane_parts:seg7,0.7
53,odontopleurida,invalid,censored,,25.0,seg9,unsane_parts:seg9,0.8
54,odontopleurida,invalid,censored,,25.0,seg11,unsane_parts:seg11,0.6
55,odontopleurida,invalid,censored,,25.0,seg10,unsane_parts:seg10,0.7
60,phacopida,invalid,censored,,25.0,"seg4,seg5,seg6,seg7,seg8,seg9","unsane_parts:seg4,seg5,seg6,seg7,seg8,seg9",0.9
61,phacopida,invalid,censored,,25.0,"seg8,seg9,seg10,seg11","unsane_parts:seg8,seg9,seg10,seg11",0.8
62,phacopida,invalid,censored,,25.0,"seg3,seg4,seg5,seg6,seg7","unsane_parts:seg3,seg4,seg5,seg6,seg7",0.6
63,phacopida,invalid,censored,,25.0,"seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10","unsane_parts:seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10",0.6
64,phacopida,invalid,censored,,25.0,"seg6,seg7,seg8","unsane_parts:seg6,seg7,seg8",0.4
65,phacopida,closed,spiral,18.75,45.0,,,26.8
70,proetida,invalid,censored,,45.0,,rest_interference,2.0
71,proetida,closed,double,27.19,45.0,,,28.2
72,proetida,closed,double,22.03,45.0,,,29.5
73,proetida,closed,double,18.91,45.0,,,34.1
74,proetida,invalid,censored,,25.0,"seg6,seg7","unsane_parts:seg6,seg7",0.6
75,proetida,closed,spiral,26.41,45.0,,,24.9
80,ptychopariida,closed,double,23.59,45.0,,,29.3
81,ptychopariida,closed,double,24.3,45.0,,,37.4
82,ptychopariida,invalid,censored,,25.0,seg8,unsane_parts:seg8,0.7
83,ptychopariida,closed,double,23.28,45.0,,,39.2
84,ptychopariida,closed,double,17.5,45.0,,,37.5
