idx,preset,limited_by,enroll_class,theta,bevel,unsane,reason,secs
0,agnostida,invalid,censored,,45.0,,rest_interference,0.6
1,agnostida,invalid,censored,,35.0,,rest_interference,0.9
2,agnostida,invalid,censored,,25.0,seg3,unsane_parts:seg3,0.3
3,agnostida,bound,censored,25.0,25.0,,,3.9
4,agnostida,invalid,censored,,35.0,,rest_interference,0.7
5,agnostida,invalid,censored,,45.0,,rest_interference,0.8
10,asaphida,invalid,censored,,45.0,,rest_interference,1.6
11,asaphida,invalid,censored,,25.0,,rest_interference,1.6
12,asaphida,bound,censored,25.0,25.0,,,10.2
13,asaphida,invalid,censored,,45.0,,rest_interference,1.9
14,asaphida,invalid,censored,,25.0,"seg5,seg6,seg7","unsane_parts:seg5,seg6,seg7",0.5
15,asaphida,invalid,censored,,25.0,"seg1,seg2,seg10","unsane_parts:seg1,seg2,seg10",0.6
20,corynexochida,invalid,censored,,25.0,seg9,unsane_parts:seg9,0.4
21,corynexochida,invalid,censored,,45.0,,rest_interference,2.3
22,corynexochida,invalid,censored,,45.0,,rest_interference,1.2
23,corynexochida,closed,double,20.62,45.0,,,23.7
24,corynexochida,invalid,censored,,25.0,seg7,unsane_parts:seg7,0.3
25,corynexochida,closed,double,26.02,45.0,,,20.3
30,harpetida,invalid,censored,,45.0,head,unsane_parts:head,0.6
31,harpetida,closed,double,39.92,45.0,,,22.3
32,harpetida,closed,double,31.09,45.0,,,27.0
33,harpetida,invalid,censored,,45.0,head,unsane_parts:head,0.3
34,harpetida,invalid,censored,,25.0,"head,seg3,seg4,seg9","unsane_parts:head,seg3,seg4,seg9",0.5
35,harpetida,closed,double,44.45,45.0,,,22.8
40,lichida,invalid,censored,,25.0,seg6,unsane_parts:seg6,0.5
41,lichida,invalid,censored,,25.0,"seg6,seg7,seg8","unsane_parts:seg6,seg7,seg8",0.6
42,lichida,invalid,censored,,25.0,seg11,unsane_parts:seg11,0.8
43,lichida,invalid,censored,,25.0,"seg0,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg11","unsane_parts:seg0,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg11",0.6
44,lichida,closed,double,21.02,25.0,,,27.6
45,lichida,invalid,censored,,25.0,seg8,unsane_parts:seg8,0.6
50,odontopleurida,invalid,censored,,25.0,"seg5,seg6","unsane_parts:seg5,seg6",0.4
51,odontopleurida,invalid,censored,,25.0,"seg7,seg8","unsane_parts:seg7,seg8",0.4
52,odontopleurida,invalid,censored,,25.0,seg7,unsane_parts:seg7,0.4
53,odontopleurida,invalid,censored,,25.0,seg9,unsane_parts:seg9,0.5
54,odontopleurida,closed,double,19.45,25.0,,,36.5
55,odontopleurida,invalid,censored,,25.0,seg10,unsane_parts:seg10,0.6
60,phacopida,invalid,censored,,25.0,"seg4,seg5,seg6,seg7,seg8,seg9","unsane_parts:seg4,seg5,seg6,seg7,seg8,seg9",0.7
61,phacopida,invalid,censored,,25.0,"seg8,seg9,seg10,seg11,seg12","unsane_parts:seg8,seg9,seg10,seg11,seg12",0.7
62,phacopida,invalid,censored,,25.0,"seg3,seg4,seg5,seg6,seg7","unsane_parts:seg3,seg4,seg5,seg6,seg7",0.6
63,phacopida,invalid,censored,,25.0,"seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10","unsane_parts:seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10",0.4
64,phacopida,invalid,censored,,25.0,"seg6,seg7,seg8,seg9","unsane_parts:seg6,seg7,seg8,seg9",0.4
65,phacopida,closed,spiral,18.75,35.0,,,25.0
70,proetida,invalid,censored,,25.0,"seg6,seg7","unsane_parts:seg6,seg7",0.7
71,proetida,closed,double,27.19,45.0,,,24.8
72,proetida,closed,double,22.03,45.0,,,25.7
73,proetida,invalid,censored,,25.0,seg11,unsane_parts:seg11,0.9
74,proetida,invalid,censored,,25.0,"seg6,seg7","unsane_parts:seg6,seg7",0.6
75,proetida,invalid,censored,,25.0,seg6,unsane_parts:seg6,0.5
80,ptychopariida,closed,double,23.59,45.0,,,24.4
81,ptychopariida,invalid,censored,,25.0,"seg3,seg4,seg7,seg8,seg9,seg10","unsane_parts:seg3,seg4,seg7,seg8,seg9,seg10",0.7
82,ptychopariida,invalid,censored,,25.0,seg8,unsane_parts:seg8,0.6
83,ptychopariida,invalid,censored,,25.0,"seg10,seg11","unsane_parts:seg10,seg11",0.8
84,ptychopariida,invalid,censored,,25.0,seg13,unsane_parts:seg13,0.9
85,ptychopariida,closed,double,22.03,45.0,,,29.1
90,redlichiida,invalid,censored,,25.0,"seg11,seg12","unsane_parts:seg11,seg12",0.5
91,redlichiida,invalid,censored,,25.0,"seg9,seg10,seg11,seg13","unsane_parts:seg9,seg10,seg11,seg13",0.5
92,redlichiida,closed,double,25.62,45.0,,,37.0
93,redlichiida,invalid,censored,,25.0,seg14,unsane_parts:seg14,0.9
94,redlichiida,invalid,censored,,25.0,seg11,unsane_parts:seg11,0.8
95,redlichiida,closed,double,19.84,25.0,,,41.5
